lr,bsize,num epochs,input size,hidden size,test/loss,test/acc
0.0005,16.0,20.0,384.0,64.0,0.44098418951034546,0.8061760663986206
0.0005,16.0,20.0,384.0,64.0,0.43763628602027893,0.8015768527984619
0.0005,16.0,20.0,384.0,64.0,0.431243896484375,0.8048620223999023
0.0005,16.0,30.0,384.0,64.0,0.45620131492614746,0.7996057868003845
0.0005,16.0,30.0,384.0,64.0,0.4412286877632141,0.8081471920013428
0.0005,16.0,30.0,384.0,64.0,0.4350515604019165,0.8055190443992615
0.0005,16.0,60.0,384.0,64.0,0.501940906047821,0.7969776391983032
0.0005,16.0,60.0,384.0,64.0,0.47156059741973877,0.8048620223999023
0.0005,16.0,60.0,384.0,64.0,0.45103076100349426,0.8068330883979797
0.0005,32.0,20.0,384.0,64.0,0.4477817416191101,0.802890956401825
0.0005,32.0,20.0,384.0,64.0,0.44531649351119995,0.8009198307991028
0.0005,32.0,20.0,384.0,64.0,0.43982836604118347,0.8035479784011841
0.0005,32.0,30.0,384.0,64.0,0.45633959770202637,0.8002628087997437
0.0005,32.0,30.0,384.0,64.0,0.44435974955558777,0.8055190443992615
0.0005,32.0,30.0,384.0,64.0,0.4390603005886078,0.8074901700019836
0.0005,32.0,60.0,384.0,64.0,0.47904008626937866,0.8055190443992615
0.0005,32.0,60.0,384.0,64.0,0.46194493770599365,0.8074901700019836
0.0005,32.0,60.0,384.0,64.0,0.4545230269432068,0.8048620223999023
0.0005,64.0,20.0,384.0,64.0,0.4455203115940094,0.802890956401825
0.0005,64.0,20.0,384.0,64.0,0.4429420232772827,0.802890956401825
0.0005,64.0,20.0,384.0,64.0,0.4395861029624939,0.8002628087997437
0.0005,64.0,30.0,384.0,64.0,0.4451826512813568,0.802890956401825
0.0005,64.0,30.0,384.0,64.0,0.4431709349155426,0.7996057868003845
0.0005,64.0,30.0,384.0,64.0,0.43665215373039246,0.802890956401825
0.0005,64.0,60.0,384.0,64.0,0.45847287774086,0.809461236000061
0.0005,64.0,60.0,384.0,64.0,0.45050179958343506,0.8015768527984619
0.0005,64.0,60.0,384.0,64.0,0.4400463104248047,0.8088042140007019
